Pest Name,Most Commonly Used Pesticides
aphids,"Imidacloprid, Acetamiprid, Thiamethoxam"
beet army worm,"Bacillus thuringiensis, Methoxyfenozide, Spinosad"
blister beetle,"Carbaryl, Malathion, Pyrethrin, Permethrin"
Cicadellidae,"Imidacloprid, Thiacloprid, Dinotefuran, Thiamethoxam"
corn borer,"Chlorpyrifos, Emamectin benzoate, Lambda-cyhalothrin, Spinosad"
legume blister beetle,"Carbaryl, Chlorpyrifos, Lambda-cyhalothrin"
Lycorma delicatula,"Dinotefuran, Imidacloprid, Thiamethoxam"
Miridae,"Buprofezin, Clothianidin, Imidacloprid"
mole cricket,"Bifenthrin, Carbaryl, Imidacloprid"
whitefly,"Imidacloprid, Thiamethoxam, Pyrethroids"
